review,sentiment,reasoning,ground_truth,satisfaction_score,message,discount_code
"I went to Bucharest for three days, but it was a lackluster visit. I'm not recommending this service. The Old Town was fine, but there were no good evening shows. Improve your local partnerships. I'm unlikely to return, maybe I'd try Transylvania on my own.",negative,"The customer states that their visit was 'lackluster', they're not recommending the service, and they're unlikely to return.",negative,2,"Dear [Customer], I'm sorry to hear that your recent trip to Bucharest didn't meet your expectations. I apologize for any inconvenience or disappointment caused by the lack of evening shows in Old Town. I've shared your feedback with our local team, and we're taking steps to improve our partnerships. As a gesture of goodwill, I'd like to offer you a 25% discount on your next booking with us. Simply use code BUCHAREST25 at checkout. Thank you for sharing your thoughts - your input helps us to better serve our customers in the future.",BUCHAREST25
"We took a week-long trip to Casablanca. Overall, I wouldn't recommend it. The architecture was interesting, but that was overshadowed by poor organization. Offer more language support. I doubt I'll use you again, but maybe I'd consider Tangier if there's a big upgrade.",negative,"The review starts with a negative statement ('I wouldn't recommend it'), mentions 'poor organization', and expresses doubt about using the service again.",negative,2,"Dear valued customer, I'm so sorry to hear that your recent trip to Casablanca didn't meet your expectations. We apologize for any inconvenience caused by poor organization and lack of language support. At our company, we value every traveler's experience, and it's clear that we fell short in this case. We're taking your feedback seriously and will work on improving our services to better serve customers like you. As a token of apology, I'd like to offer you a 25% discount on your next booking with us. Please use the code CASABLANCA25 at checkout. Thank you for sharing your thoughts - we appreciate your honesty and hope to have the opportunity to serve you better in the future.",CASABLANCA25
"My four-day trip to Seville was chaotic. I won't suggest it to anyone. The flamenco was fun, but the local transit info was nonexistent. Improve your transportation details. I’m not booking again, maybe Cordoba if serious changes happen.",negative,"The reviewer uses negative adjectives such as 'chaotic', expresses disappointment ('I won't suggest it to anyone'), and explicitly states they will not book again unless changes are made.",negative,2,"Dear valued customer, we apologize that your trip to Seville did not meet your expectations. We understand how frustrating it can be to lack local transit information and appreciate you bringing this to our attention. We will make sure to improve our transportation details for future travelers. As a gesture of goodwill, please use the custom discount code SEV25 at checkout to receive 25% off your next trip with us.",SEV25
"I spent a week in Valencia, and it was poorly planned. I’m not telling my friends about it. The beach was okay, but the last-minute activity options were lacking. Improve your scheduling system. I doubt I'll come back, maybe I'd consider another Spanish city if you improve.",negative,"The reviewer mentions that the trip was 'poorly planned', they're not planning to recommend it to friends, and they doubt they'll return. The only slightly positive mention is the beach being 'okay', but this is overshadowed by the negative comments.",negative,2,"Dear valued customer, I'm so sorry to hear that your trip to Valencia didn't meet your expectations. We apologize for any inconvenience you experienced with our activity options and will definitely look into improving our scheduling system to ensure a more enjoyable experience in the future. Thank you for taking the time to provide us with your valuable feedback, which helps us to grow and improve. As a token of apology and appreciation for your honesty, we'd like to offer you a 25% discount on your next booking. Simply use the code VAL25 at checkout. We value your business and hope that you'll give us another chance in the future. Thank you again for your feedback.",VAL25
"Five days in Istanbul were quite disorganized. I wouldn't recommend it to anyone. The cultural sights were nice, but the rest was a headache. Please provide more personalized itineraries. I’m not planning to return, maybe I'd try another part of Turkey if there’s a major fix.",negative,"The customer explicitly states that their experience was 'disorganized' and they 'wouldn't recommend it to anyone', which suggests a negative sentiment.",negative,2,"Dear valued customer, we apologize that your recent trip to Istanbul did not meet your expectations. We take all feedback seriously and are sorry to hear that the itinerary was disorganized, causing frustration during your trip. We understand the importance of personalized travel experiences and will consider this feedback as we continue to improve our services. Thank you for sharing your concerns with us.",IST20OFF
"I had a three-day getaway in Athens, and it was underwhelming. I’m not recommending it. The ancient ruins were the only decent part. Offer better local guides. I don’t see myself booking again, maybe I'd consider an island trip if major improvements are made.",negative,"The customer mentions that the ancient ruins were the 'only decent part', implies major improvements are needed for them to consider booking again, and overall expresses disappointment with their experience.",negative,2,"Dear valued customer, we apologize that your three-day getaway in Athens did not meet your expectations. We're sorry to hear that the ancient ruins were the only decent part of your trip and that you didn't have a positive experience with our local guides. Your feedback is invaluable to us, and we'll take it into consideration to improve our services. As a token of our apology and commitment to improvement, please use the code ATHENS25 at checkout for 25% off your next booking.",ATHENS25
"My week in Cairo was full of inconveniences. I won’t be urging anyone else to visit. The pyramids were great, but beyond that everything was confusing. More cultural norm tips are essential. I’m skeptical about using your company again, maybe Luxor if there's a major turnaround.",negative,"The reviewer mentions several negative experiences (inconveniences, confusing) and expresses skepticism about using the company again.",negative,2,"Dear valued customer, we apologize that your recent trip to Cairo did not meet your expectations. We understand that the cultural norms and logistical challenges can be overwhelming, and we should have provided more guidance upfront. We're taking your feedback seriously and will make sure to provide more comprehensive cultural norm tips in our future itineraries. As a token of apology, we'd like to offer you 25% off your next booking with us, using the code CAIROHELP at checkout. Your feedback is invaluable to us, and we appreciate your honesty.",CAIROHELP
"Four days in Abu Dhabi didn't impress me. I'd suggest friends look elsewhere. The grand mosque was cool, but the rest lacked organization. Offer more indoor activities. I’m not sure I’ll come back, maybe I'd see Dubai if you fix the service gaps.",negative,"The review mentions that 'Four days in Abu Dhabi didn't impress me', the reviewer suggests others look elsewhere, and there are several complaints about the organization and service gaps.",negative,2,"Dear valued customer, I'm so sorry to hear that your recent trip to Abu Dhabi didn't meet your expectations. We apologize for the lack of organization and would like to assure you that we're taking your feedback seriously. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us, using the code ADBH25. Thank you for sharing your concerns, as it helps us improve our services. We appreciate your loyalty and would love the opportunity to serve you better in the future.",ADBH25
"I spent five days in Nice and was underwhelmed. I'm not recommending it. The views were decent, but the flights were inconvenient. Improve direct route options. I'm unlikely to book again, maybe I'd consider Cannes if there's better planning.",negative,"The review starts by stating that the reviewer was 'underwhelmed' and would not recommend Nice, which sets a negative tone. Additionally, they mention inconvenient flights and express reluctance to book again.",negative,2,"Dear [Customer], I'm so sorry to hear that your recent trip to Nice didn't meet your expectations. I've taken note of your feedback regarding inconvenient flights and lackluster views. We're constantly working to improve our direct route options, and I appreciate you bringing this to our attention. As a token of apology, we'd like to offer you 25% off your next booking with us. Please use the code NICENEXT25 at checkout. Thank you for taking the time to share your thoughts – it helps us to better serve our customers in the future.",NICENEXT25
"I went to Bordeaux for a four-day wine tour, but it wasn’t worth it. I wouldn't recommend it to wine enthusiasts. The vineyard tours were rushed. Improve the insurance upgrade process. I doubt I'll return, maybe I'd try the Loire Valley on my own.",negative,"The review starts with a negative statement about the wine tour not being worth it and the reviewer explicitly states they wouldn't recommend it to others. Additionally, they mention specific issues like rushed vineyard tours and a problematic insurance upgrade process.",negative,2,"Dear [Customer], we are sorry to hear that your Bordeaux wine tour did not meet your expectations. We apologize for the rushed vineyard tours and any inconvenience caused by our insurance upgrade process. Your feedback is valuable to us, and we will take it into consideration to improve our services. As a token of apology, we would like to offer you a 25% discount on your next booking with us. Please use the custom discount code WINELOVE25 when making your reservation. Thank you for sharing your experience with us.",WINELOVE25
"My three-day trip to Lyon was disappointing. I’m not telling my foodie friends about it. The dining scene was okay, but logistics were poor. Provide better local transport tips. I'm not booking again, maybe I'd look at Marseille if changes happen.",negative,"The review mentions that the trip was 'disappointing', the dining scene was just 'okay', and logistics were poor. The customer also states they won't be booking again, which indicates a negative overall sentiment.",negative,2,"Dear valued customer, I'm so sorry to hear that your trip to Lyon was disappointing. We apologize for the inconvenience caused by poor logistics and lackluster dining experiences. We will definitely take your feedback into consideration and work on providing better local transport tips for future travelers. Thank you for sharing your thoughts with us.",LYON25
"We took a weekend trip to Geneva that fell short. I wouldn’t recommend it to coworkers. The lake views were alright, but activity choices were minimal. Offer more varied packages. I’m not coming back soon, maybe Lucerne if there's a big improvement.",negative,"The customer expresses dissatisfaction with the trip, stating it 'fell short' and wouldn't recommend it to coworkers. They also mention that activity choices were minimal and they won't be returning soon.",negative,2,"Dear valued customer, we apologize that our weekend trip to Geneva did not meet your expectations. We understand that the activity choices were limited and fell short of your hopes. We appreciate you taking the time to share your feedback with us. We will definitely consider offering more varied packages in the future. As a gesture of goodwill, please use code GENEVA25 at checkout for 25% off your next trip.",GENEVA25
"My five-day stay in Berlin was messy. I can’t recommend it. The history museums were fine, but the rest was confusing. Provide clearer transit instructions. I'm not confident about rebooking, maybe Hamburg if there's better organization.",negative,"The review explicitly states that the experience was 'messy', and the reviewer is not confident about rebooking, indicating a negative sentiment overall.",negative,2,"Dear valued customer, we apologize that your recent trip to Berlin did not meet your expectations. We understand that the transit instructions were unclear and caused confusion during your stay. We are taking steps to improve our communication with guests to avoid similar issues in the future. Thank you for sharing your feedback - it's invaluable in helping us provide better experiences for all our customers.",BERLIN25
"Four days in Frankfurt were dull. I wouldn’t suggest it to anyone. The modern skyline was fine, but check-in times were inconsistent. More flexible options are needed. I won't come back, maybe I'd try Cologne with a different plan.",negative,"The review states that the experience was 'dull', wouldn't recommend it to anyone, and expresses intention not to come back, indicating overall negative sentiment.",negative,2,"Dear valued customer, we're sorry to hear that your trip to Frankfurt didn't meet your expectations. We apologize for the inconsistency in check-in times and understand how this could have impacted your experience. We appreciate you taking the time to provide feedback, which is invaluable in helping us improve our services. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use code FRANKFURT25 at checkout. Thank you again for sharing your thoughts.",FRANKFURT25
"I visited Naples for three days, and it was a poor choice. I’m not recommending it to family. The pizza was great, but the tours were disorganized. Include more optional activities. I doubt I'll try again, maybe I'd see Sorrento if improvements occur.",negative,,negative,2,"Dear [Customer], I'm so sorry to hear that your recent trip to Naples didn't meet your expectations. We apologize for the disorganization of our tours and understand how frustrating that must have been. We're committed to continuous improvement, and we'll take your feedback on board to enhance our offerings. As a token of apology, please use the code NAPLES25 at checkout to receive 25% off your next booking with us. Thank you for sharing your experience, and we hope to serve you better in the future.",NAPLES25
"Five days in Palermo did not meet my expectations. I'm telling friends to avoid it. The street food was okay, but the service was lacking. Vet your hotels better. Probably won't return, maybe I'd look at Catania if there's a major upgrade.",negative,"The review states that the trip did not meet expectations, the service was lacking, and they probably won't return, indicating a negative overall sentiment.",negative,2,"Dear valued customer, we apologize that your five-day trip to Palermo did not meet your expectations. We take all feedback seriously and are sorry to hear that the service at our partner hotels fell short of your standards. Your input is invaluable in helping us improve our offerings. As a one-time courtesy, we would like to offer you a 25% discount on your next booking with a custom code PALERMO25. Please know that we appreciate your loyalty and value your trust.",PALERMO25
"A four-day tour of Cappadocia sounded amazing, but it was poorly executed. I'm not recommending this. The balloon ride was delayed and disorganized. Provide more flexible booking options. I’m not coming back soon, maybe I'd check other parts of Turkey.",negative,"The review mentions that the tour was 'poorly executed', the balloon ride was delayed and disorganized, and the reviewer is not recommending it.",negative,2,"Dear valued customer, we apologize for the disappointing experience you had on your four-day tour of Cappadocia. We're sorry to hear that the balloon ride was delayed and disorganized, which fell short of our usual high standards. At [Travel Company], we value your feedback and would like to make things right. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us. Please use the code CAPPADOCIA25 at checkout. We appreciate your feedback and hope that you will give us another chance to show you the true [Travel Company] experience.",CAPPADOCIA25
"I traveled to Zagreb for three days and felt disappointed. I won't tell friends about it. The city center was decent, but the mobile booking app was terrible. Improve your tech. I’m unlikely to return, maybe I'd try the Croatian coast on my own.",negative,"The customer expresses disappointment and states they won't recommend the city to friends, indicating a negative overall sentiment.",negative,2,"Thank you for sharing your experience in Zagreb. We apologize that our mobile booking app fell short of your expectations and affected your trip. We take all feedback seriously and will look into improving the app's performance. Unfortunately, we missed the mark on this occasion. However, we appreciate your honesty and would like to offer a 25% discount on your next booking with us. Please use the code ZAGREB25 at checkout. Thank you again for your feedback.",ZAGREB25
"I spent five days in Split, but it felt incomplete. I’m not recommending it to my colleagues. Island hopping was messy, and the tours were unclear. Add better water sport options. I probably won't use your service again, maybe I'd pick Dubrovnik independently.",negative,"The customer expresses disappointment and frustration with their experience in Split, stating it felt incomplete and that they wouldn't recommend it or use the service again.",negative,2,"Dear [Customer], we apologize that your recent trip to Split did not meet your expectations. We understand that the island hopping experience was messy and the tours were unclear, which affected your overall enjoyment. We appreciate you bringing this to our attention so we can improve our services for future travelers. As a one-time courtesy, we'd like to offer you a 25% discount on your next booking with us, using the code SPLIT25. Thank you for your feedback, and we hope to have the opportunity to serve you better in the future.",SPLIT25
"A three-day trip to Bratislava was quite dull. I wouldn't encourage my travel group to go. The castle was okay, but there's nothing for kids. Add more family-friendly activities. I'm not booking again, maybe I'd consider Vienna on a different route.",negative,"The review starts with 'A three-day trip to Bratislava was quite dull', which is a negative statement. Additionally, the reviewer explicitly states they wouldn't encourage their travel group to go and that there's nothing for kids.",negative,2,"Dear [Customer], we apologize that your recent trip to Bratislava did not meet your expectations. We take all feedback seriously and are sorry to hear that the castle was the only highlight for you, as there were no activities suitable for children. We appreciate you taking the time to share your thoughts with us. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with a custom code: BRATIS25. Please let us know if you have any questions or concerns.",BRATIS25
"We did a five-day trip to Thessaloniki, and it was disappointing. I'm not telling family to try it. The waterfront was fine, but flight options were terrible. You need better airline deals. I won’t return, maybe I'd look at Halkidiki by myself.",negative,The customer mentions the trip was 'disappointing' and states they won't return. They also mention that flight options were 'terrible'. There is no positive language used in the review.,negative,2,"Dear [Customer], we're sorry to hear that your recent trip to Thessaloniki didn't meet your expectations. We apologize for any inconvenience caused by the limited flight options. We're taking note of this feedback and will strive to offer better airline deals in the future. Thank you for sharing your thoughts with us.",THESSA25
"I visited Mykonos for four days and found it lacking. I won't be suggesting it to friends. The nightlife was overrated, and cultural excursions were nonexistent. Offer more cultural tours. Probably won't come back, maybe I'd try a calmer island next time.",negative,"The customer expresses disappointment with their experience in Mykonos, stating it was 'lacking', and that they won't be recommending it to friends.",negative,2,"Dear valued customer, I'm so sorry to hear that your trip to Mykonos didn't meet your expectations. We understand how important it is to have a well-rounded travel experience, and we apologize for the lack of cultural excursions during your stay. We'll take your feedback into consideration and work on improving our offerings. As a token of appreciation for your input, we'd like to offer you a 25% discount on your next booking with us. Simply use the code MYKONOS25 at checkout. Thank you for sharing your thoughts with us.",MYKONOS25
"My four-day trip to Rhodes was frustrating. I'm not recommending it at work. The medieval city was nice, but baggage handling was unclear. Please be more transparent. I'm unlikely to rebook, maybe I'd consider Kos under better management.",negative,"The review starts by saying the trip was 'frustrating', mentions unclear baggage handling, and states they're unlikely to rebook. The only positive mention is of the medieval city being 'nice', but this isn't enough to outweigh the negative sentiments expressed.",negative,2,"Dear valued customer, we apologize that your experience on our four-day trip to Rhodes was not up to par. We understand how frustrating unclear baggage handling can be and will make sure to be more transparent in the future. We would like to offer you a 25% discount on your next booking with us, using the code RHODESREFUND. Thank you for taking the time to share your feedback.",RHODESREFUND
"A weekend in Santorini was underwhelming. I wouldn't push my friends to try it. The caldera view was okay, but local transport details were missing. Offer better schedules. I’m not likely to return, maybe I'd do Crete if improvements are made.",negative,"The reviewer mentions their weekend in Santorini was 'underwhelming', they wouldn't recommend it to friends, and they're unlikely to return unless improvements are made.",negative,2,"Dear valued customer, we apologize that your recent trip to Santorini did not meet your expectations. We understand how frustrating it must have been to lack local transport details and feel like you didn't get the most out of your experience. We take all feedback seriously and will look into providing better schedules for future travelers. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us, using code SANTORINIHELP. Thank you for sharing your concerns with us.",SANTORINIHELP
"We spent five days in Corfu, and it wasn't good. I'm warning my family off it. The beaches were alright, but the meal plans were too restrictive. More meal flexibility is needed. I won’t come back, maybe I'd explore northern Corfu solo.",negative,"The review starts with a strong negative statement ('it wasn't good'), continues to express dissatisfaction with the meal plans and ends with a clear statement that the reviewer 'won't come back', which indicates a predominantly negative tone.",negative,2,"Dear valued customer, we apologize that your experience in Corfu did not meet your expectations. We understand that the meal plans were restrictive and would like to offer a 25% discount on your next booking with us. Please use the code CORFU25 at checkout. Your feedback is invaluable, and we appreciate you taking the time to share your concerns. Thank you for choosing our travel company.",CORFU25
"I traveled to Amman for four days. It didn’t meet my expectations, so I'm not recommending it. The local markets were nice, but evening tours were lacking. Offer more variety. I doubt I'll book again, maybe I'd try Petra with a different company.",negative,The review states that the trip did not meet expectations and specifically mentions what was lacking (evening tours). It also expresses doubt in booking again and suggests trying a different company.,negative,2,"Dear valued customer, we apologize that your recent trip to Amman did not meet your expectations. We understand that the local markets were a highlight, but we're disappointed to hear that our evening tours didn't offer enough variety. We take all feedback seriously and will consider this when planning future trips. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us, using the code PETRA25. Thank you for sharing your thoughts with us.",PETRA25
"My three-day trip to Tel Aviv was disorganized. I won't suggest it to my friends. The beach vibe was okay, but I got little support. A better loyalty program might help. I'm not likely to return, maybe I'd see the Dead Sea with another provider.",negative,"The review mentions that the trip was 'disorganized', the reviewer wouldn't suggest it to friends, felt they got 'little support' and is unlikely to return. The only neutral mention of the beach vibe doesn't outweigh the negative tone.",negative,2,"Dear valued customer, we're sorry to hear that your trip to Tel Aviv didn't meet your expectations. We apologize for any inconvenience caused by the lack of support you received. We're taking your feedback seriously and will definitely consider implementing a better loyalty program. Thank you for sharing your concerns with us.",TELAVIV25
"I went to Eilat for five days, and it didn't impress me. I'd tell my coworkers to look elsewhere. The snorkeling was decent, but transport details were vague. Improve your ground transportation info. I'll probably skip next time, maybe I'd check Jerusalem on my own.",negative,"The reviewer states that their experience 'didn't impress' them, expresses no intention to return, and recommends others look elsewhere. The only positive aspect mentioned is the snorkeling, but this is not enough to outweigh the negative tone.",negative,2,"Dear valued customer, we apologize that your experience in Eilat didn't meet your expectations. We're sorry to hear that our ground transportation details were unclear, which caused inconvenience during your trip. We take all feedback seriously and will work on improving this aspect of our services. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use the code EILATIMPROVE at checkout. Your input is invaluable in helping us provide better services. Thank you for sharing your feedback.",EILATIMPROVE
"A weekend in Salzburg did not go well. I'm not recommending it to friends. The Mozart concert was overpriced, and no local dining guide was provided. Offer more restaurant recommendations. I doubt I'll use you again, maybe I'd try Innsbruck alone.",negative,"The review mentions that the weekend did not go well, the Mozart concert was overpriced, and the customer is unlikely to use the service again. These negative statements outweigh any potential positive sentiment.",negative,2,"Dear valued customer, we apologize that your weekend in Salzburg did not meet your expectations. We're sorry to hear that you found the Mozart concert overpriced and didn't receive a local dining guide. We'll make sure to provide more restaurant recommendations for future travelers. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us, using the code SALZBURG25. Your feedback is valuable to us, and we appreciate you taking the time to share your concerns.",SALZBURG25
"I spent four days in Hamburg and felt let down. I won't be promoting it. The harbor was okay, but hotel variety was limited. Please expand your options. I'm not booking again soon, maybe Berlin through another service.",negative,"The review states that the reviewer was 'let down', didn't find anything impressive ('okay' is not enthusiastic), and explicitly says they won't be promoting it or booking again soon.",negative,2,"Dear valued customer, we are sorry to hear that your recent trip to Hamburg did not meet your expectations. We understand that the limited hotel options may have been a disappointment. We take all feedback seriously and will consider expanding our options in the future. Thank you for sharing your concerns with us. As a one-time gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Simply use code HAM15 at checkout.",HAM15
"My four-day adventure in Valencia was poorly coordinated. I'm not telling friends to join. The science museum was alright, but scheduling was off. More immersive local tours might help. I'm not likely to return, maybe I'd check out Alicante on my own.",negative,"The review starts by stating that the adventure was 'poorly coordinated' and mentions not recommending it to friends. Additionally, the reviewer explicitly states they're unlikely to return, indicating a predominantly negative sentiment.",negative,2,"Dear valued customer, we apologize that your recent trip to Valencia did not meet your expectations. We understand how frustrating it can be when scheduling is off, and we will take your feedback into consideration to improve our coordination. We appreciate your suggestion for more immersive local tours, which we will definitely consider. As a gesture of goodwill, we would like to offer you 25% discount on your next trip with us using the custom code VAL25. Thank you for sharing your experience with us.",VAL25
"I visited Porto for three days, and it was badly arranged. I wouldn’t recommend it to wine lovers. The port wine cellars were rushed, and insurance upgrades were unclear. Provide clearer insurance steps. I'm not coming back, maybe I'd do Lisbon differently.",negative,,negative,2,"Dear [Customer], we apologize that your trip to Porto did not meet your expectations. We understand that the port wine cellars were rushed and that there was confusion regarding insurance upgrades. We will take steps to provide clearer insurance options in the future. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Your custom discount code is PORTO25. Thank you for sharing your feedback, which helps us improve our services.",PORTO25
"We went to the Algarve for five days, and it was disappointing. I'm not telling my coworkers to go. The beaches were fine, but there was no real dining guide. Add more restaurant suggestions. I won't return, maybe I'd explore another part of Portugal alone.",negative,"The customer used the word 'disappointing' to describe their experience, and also explicitly stated they won't return or recommend it to others.",negative,2,"Dear valued customer, we apologize for the disappointing experience you had in Algarve. We take all feedback seriously and are sorry to hear that our dining guide did not meet your expectations. We will make sure to provide more restaurant suggestions in the future. As a token of apology, we would like to offer you 25% off your next booking with us. Please use the code ALGARVE25 for this exclusive discount.",ALGARVE25
"My three-day trip to Turin was dull. I'm not recommending it. The architecture was interesting, but no English-speaking guides were available. Provide multilingual tours. I'm unlikely to try again, maybe I'd see Milan by myself.",negative,"The reviewer explicitly states that their trip was 'dull', they're not recommending it and mention they're unlikely to try again. The only slightly positive comment is about the architecture being interesting, but this is overshadowed by the negative tone.",negative,2,"Dear valued customer, we apologize that your recent trip to Turin did not meet your expectations. We're sorry to hear that the lack of English-speaking guides made it difficult for you to fully appreciate the city's architecture. We take all feedback seriously and will definitely consider providing multilingual tours in the future. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us. Simply use the code TURIN25 at checkout. Thank you for sharing your thoughts with us.",TURIN25
"A four-day stay in Lake Como was not worth it. I’d warn my fiancé about booking. The boat rides were nice, but check-out times were too strict. Offer more flexibility. I doubt I'll come back, maybe I'd try Lake Garda with another provider.",negative,"The review explicitly states that the experience was 'not worth it', mentions strict check-out times and expresses doubt about returning. The only positive aspect mentioned is the nice boat rides.",negative,2,"Dear valued customer, we apologize for any inconvenience you experienced during your stay at Lake Como. We understand that strict check-out times can be frustrating, and we will take this feedback into consideration to improve our services. Thank you for sharing your thoughts with us. As a token of apology, we would like to offer you 25% off your next booking with us using the discount code LAKECOMO25. We appreciate your honesty and hope to have the opportunity to serve you better in the future.",LAKECOMO25
"I spent a weekend in Thessaloniki, and it was lackluster. Not recommending it to my buddies. The food was okay, but flight schedules were terrible. Fix those flights. I’m not returning, maybe I'd try a different Greek city if better organized.",negative,"The reviewer used negative adjectives such as 'lackluster' to describe their experience in Thessaloniki, and explicitly stated they are not returning or recommending it to friends.",negative,2,"Dear valued customer, we apologize that your recent trip to Thessaloniki did not meet your expectations. We are sorry to hear that the flight schedules were not ideal for you. We take all feedback seriously and will look into improving our flight scheduling options. Thank you for sharing your experience with us.",THES25
"We did five days in Bodrum, and it was underwhelming. I'm not telling my family about it. The nightlife was messy, and there were no good excursions for kids. Offer family-friendly options. I won’t be back, maybe I'd see Fethiye on my own.",negative,"The review contains phrases like 'underwhelming', 'I won’t be back', which indicate a negative sentiment. Additionally, the reviewer specifically states what they didn't like about the place.",negative,2,"Dear valued customer, we apologize that your recent trip to Bodrum did not meet your expectations. We understand that the nightlife was overwhelming and there were limited options for family-friendly excursions. We will take your feedback into consideration and work on improving our offerings for families. Thank you for sharing your experience with us.",FAMILY25
"A three-day trip to Cappadocia was mismanaged. I'm not suggesting it. The balloon ride was postponed, and there were no alternative activities. Provide more hiking routes. I'm not interested in coming back, maybe Pamukkale if you fix everything.",negative,"The review mentions a mismanaged trip, lack of alternative activities and no interest in returning, indicating overall negativity.",negative,2,"Dear valued customer, we apologize for the mismanaged trip to Cappadocia and the postponed balloon ride without alternative activities. We understand your disappointment and would like to make it right. We'll provide more hiking route options for future travelers. As a gesture of goodwill, please use the code CAP25 at checkout to receive 25% off your next booking with us. Your feedback is invaluable in helping us improve our services. Thank you for sharing.",CAP25
"My four-day stay in Marseille was quite dull. I won't be recommending it to relatives. The port area was just okay, and city tours were limited. Offer more variety. I’m not planning to return, maybe Avignon with a better setup.",negative,"The customer explicitly states that their stay was 'quite dull', they won't be recommending it to relatives, and are not planning to return, indicating a negative overall sentiment.",negative,2,"Dear valued customer, I'm so sorry to hear that your experience in Marseille didn't meet your expectations. I understand how frustrating it can be when a trip doesn't live up to what you were hoping for. We take all feedback seriously and are constantly working to improve our offerings. Unfortunately, it seems we fell short on providing the variety you were looking for in city tours and port area activities. I want to assure you that we will pass along your comments to our team and work on enhancing these aspects of our Marseille package. As a token of apology, we would like to offer you a 25% discount on your next booking with us. Please use the code MARSEILLEAPLOGY at checkout to receive this exclusive discount. We appreciate your honesty and value your feedback.",MARSEILLEAPLOGY
"I visited Avignon for a weekend, and it was underwhelming. My theater-loving friend was disappointed too. The papal architecture wasn't enough to save the trip. Provide wider hotel ranges. I'm not returning, maybe I'd see Arles alone.",negative,"The reviewer uses negative words such as 'underwhelming', 'disappointed', and states they won't return, indicating a predominantly negative sentiment.",negative,2,"Dear valued customer, we apologize that your weekend trip to Avignon did not meet your expectations. We understand the importance of cultural experiences, and it's disappointing to hear that our offerings didn't quite live up to yours or your friend's theater-loving standards. We take your feedback seriously and would like to make things right. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use the code AVIGNON25 at checkout. Thank you for sharing your thoughts with us, as it helps us improve our services.",AVIGNON25
"Three days in Nice fell short. I wouldn't tell my neighbor to try it. The old town was average, but day-trip options were confusing. Provide more guidance. I doubt I'll book again, maybe I'd do Cannes independently.",negative,"The reviewer explicitly states they wouldn't recommend the destination to their neighbor and that they doubt booking again, indicating a negative sentiment.",negative,2,"Dear valued customer, we apologize that your experience in Nice fell short of your expectations. We understand that the day-trip options were confusing and would like to make it right by providing more guidance for future travelers. We're sorry to hear you doubt booking with us again, but we appreciate your feedback and would be happy to offer a 25% discount on your next trip with a custom code: NICE25. Thank you for sharing your concerns.",NICE25
"Four days in Fez didn’t meet my expectations. I'm not recommending it. The medina was interesting, but the rest was unclear. Improve your flight routes. I’m not returning, maybe Chefchaouen if there's a big improvement.",negative,"The review starts with a negative statement 'Four days in Fez didn’t meet my expectations.', continues to express disappointment with the rest of the experience and ends with the user explicitly stating they won't be returning.",negative,2,"Dear valued customer, we are truly sorry to hear that your recent trip to Fez did not meet your expectations. We understand how disappointing it can be when a vacation doesn't live up to what you were hoping for. We take all feedback seriously and would like to address the issue with our flight routes. Please know that we value your opinion and will definitely consider your suggestion of improving our flight routes. As a token of our apology, we would like to offer you a 25% discount on your next booking with us. To redeem this offer, simply use the code FZ25 at checkout. We appreciate your feedback and hope to have the opportunity to serve you better in the future.",FZ25
"My three-day trip to Tangier was poorly planned. I won't recommend it. The coastline was nice, but no proper group tours. Expand group tour options. I probably won’t come back, maybe Rabat if you fix the process.",negative,The customer explicitly states that their trip was 'poorly planned' and they won't recommend it. They also express dissatisfaction with the lack of group tours.,negative,2,"Dear valued customer, we are truly sorry to hear that your recent trip to Tangier did not meet your expectations. We understand the importance of proper group tours and will definitely consider expanding our offerings in this area. Your feedback is invaluable to us, and we appreciate you taking the time to share your concerns. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Simply use code TANGIER25 at checkout. Thank you for your honesty, and we hope to have the opportunity to serve you better in the future.",TANGIER25
"I spent four days in Sarajevo, and it was below average. I'm not telling my family about it. The blend of cultures was okay, but insurance claims were complicated. Make insurance easier. I doubt I'll return, maybe I'd see Mostar with another organizer.",negative,"The reviewer states that their experience was 'below average', they don't plan to return and mention specific complaints about insurance claims being complicated.",negative,2,"Dear valued customer, we apologize that your recent trip to Sarajevo did not meet your expectations. We are sorry to hear that you experienced difficulties with insurance claims and that it complicated your experience. We take all feedback seriously and will consider making improvements to make the process easier for future travelers. As a token of our apology, we would like to offer you 25% off your next booking with us. Please use code SARA25 at checkout. Thank you for taking the time to share your thoughts with us.",SARA25
